Fragen (EN);Optionen (EN)
"The Product Backlog is ordered by
(choose the best answer)";"A) Whatever is deemed most appropriate by the Product Owner.
B) Least valuable items at the top to most valuable at the bottom.
C) Size, where small items are at the top and large items are at the bottom.
D) Items are randomly arranged.
E) Risk, where safer items are at the top, and riskier items are at the bottom."
"Which topics should be discussed in the Sprint Review?
(choose the best answer)";"A) The Scrum process, and how it was used during the Sprint.
B) Coding and engineering practices.
C) The product increment
D) All of the above."
"Which two activities will a Product Owner engage in during a Sprint?
(Choose the best two answers)";"A) Run the Daily Scrum
B) Update the Sprint burndown chart
C) Answer questions from the Developers about items in the current Sprint
D) Prioritize the Developers work on the Sprint Backlog
E) Work with stakeholders"
"When multiple Scrum Teams work together on the same product, 
each team should maintain a separate Product Backlog.";"A) True
B) False"
"What does it mean for a Scrum Team to be cross-functional?
(Choose the best answer)";"A) Developers on the Scrum Team work closely with business analysts, architects, developers, and testers who are not on the team
B) The Scrum Team includes cross-skilled individuals who are able to contribute to do what is necessary to deliver an Increment.
C) The Scrum Team is a virtual team drawing from seperate teams of business analysts, architects, developers, and testers.
D) The Scrum Team includes not only developers but also business analysts, architects and testers"
"Who determines when it is appropriate to update the Sprint Backlog during a Sprint?
(Choose the best answer)";"A) The Scrum Team 
B) The Project Manager
C) The Product Owner
D) The Developers"
"Currently, your Scrum Teams are organized to address a single layer only (for example, front end, middle tier, back end, and interfaces).
What are three things to consider when deciding to move away from such component teams toward feature teams?
(Choose the best three answers)";"A) You cannot do Scrum without feature teams.
B) Productivity may suffer when making this kind of move.
C) Getting support from the business side first helps.
D) Feature teams have less communication overhead.
E) With feature teams, it is easier to calculate the productivity per team."
"Which of the below are accountabilities on a Scrum Team? 
(choose the best three answers) ";"A) Product Owner. 
B) Scrum Master. 
C) Customers. 
D) Users. 
E) Developers."
"At the seventh Sprint Review, the stakeholders are disappointed and angry. They have determined that the product or system being built will not meet their needs and will cost more than they are willing to spend. What factors likely led to this?
(Choose the best two answers)";"A) The project management office (PMO) has not been engaged adequately.
B) The Product Owner has not been keeping the stakeholders aware of the progress of the project
C) The stakeholders were not allowed to prioritize Product Backlog items.
D) The stakeholders haven’t been using the Sprint reviews to inspect and evaluate progress"
"When is implementation of Product Backlog item considered complete? 
(Choose the best answer)";"A) When QA reports the item passes all acceptance criteria
B) When the item has no work remaining in order to be potentially released
C) At the end of the sprint
D) When all work in the sprint backlog related to the item is finished"
"The CEO asks the Developers to add a “very important” item to a Sprint that is in progress. 
What should the Developers do?
(choose the best answer)";"A) Add the item to the current Sprint and drop an item of equal size
B) Inform the Product Owner so they can work with the CEO
C) Add the item to the next Sprint
D) Add the item to the current Sprint without any adjustments"
"How should a Scrum Team deal with non-functional requirements?
(Choose the best answer)";"A) Ensure every lncrement meets them.
B) Assign them to the lead developers on the team.
C) Make sure the release department understands these requirements, but it is not the Scrum Team's responsibility.
D) Manage them during the Integration Sprint prior to the Release Sprint."
"As the Scrum Team matures, what are possible outcomes?
(Choose the best answer)";"A) The Sprint Retrospective is likely to last longer than 4 hours.
B) The Scrum Team is able to work with a more demanding Definition of Done
C) The Scrum Master is no longer needed.
D) The Daily Scrum is no longer needed."
"What are typical Product Owner activities during Sprint 0?
(choose the best answer)";"A) Creating a project plan based on the defined timeline.
B) Ensuring there is enough work to do for at least three Sprints.
C) Creating User Stories based on the requirements document.
D) Allocating enough resources before starting Sprint 1.
E) There is no such thing as Sprint."
The Product Owner makes sure the Developers select enough from the Product Backlog for a Sprint to satisfy the stakeholders.;"A) True
B) False"
"At the end of a Sprint, a Product Backlog Item worked on during the Sprint does not meet the Definition of Done. What two things should happen with the undone Product Backlog item? 
(Choose the best two answers)";"A) Do not include the item in the Increment this Sprint.
B) Put it on the Product Backlog for the Product Owner to decide what to do with it.
C) Review the item, add the done part of the estimate to the velocity and create a Story for the remaining work. 
D) If the stakeholders agree, the Product Owner can accept it and release it to the users."
"When should the Developers on a Scrum Team be replaced? 
(choose the best answer)";"A) As needed, while taking into account a short-term reduction in productivity.
B) Every Sprint to promote shared learning.
C) Never, it reduces productivity.
D) As needed, with no special allowance for changes in productivity."
"Scrum has a role called ""project manager";"A) True
B) False"
"Which statement best describes a Product Owner´s responsibility?
(choose the best answer)";"A) Keep stakeholders from distracting the Developers
B) Directing the Developers
C) Ensuring that the work meets the commitments to the stakeholders
D) Optimizing the value of the work the Scrum Team does"
"Which three behaviours demonstrate that a Team is NOT self-organizing 
and are NOT following the Scrum Guide? 
(choose the best three answers)";"A) Stakeholders attend the Daily Scrum to check progress and work with the Scrum Master to optimize the functional Scope for the Sprint. 
B) The Developers invites external people to the Sprint Planning to ask them how to turn a Product Backlog Item into an increment via a complete and detailed Sprint Backlog. 
C) Developers collaboratively select their own work during the Sprint. The Developers have all the skills needed to create a releasable increment. 
D) The Developers are working within the boundaries of their functional description and nicely handing off work from analyst to developer to tester to integration. 
E) The Developers create their own Sprint Backlog, reflecting all work that is part of the definition of ""Done""."
"Which answer best describes the topics covered in Sprint Planning?
(Choose the best answer)";"A) Who is the team and what team member roles will be.
B) What to do and who will do it.
C) What can be done, how to do it, and why to do it
D) What went wrong in the last Sprint and what to do differently this Sprint.
E) How conditions have changed and how the Product Backlog should evolve"
"The Sprint Review is mainly an inspect and adapt opportunity for which group?
(choose the best answer)";"A) The Product Owner and management.
B) The Developers and management.
C) The Scrum Team and stakeholders.
D) The Developers and stakeholders.
E) The Product Owner and stakeholders
F) The Product Owner and Developers"
"What two factors are best considered when establishing the Sprint length? 
(Choose the best two answers)";"A) The level of uncertainty over the technology to be used
B) The frequency at which team formation can be changed
C) The risk of being disconnected from the stakeholders
D) The organization has mandated similar length Sprints"
"Which Scrum events are timeboxed? 
(choose the best three answers)";"A) Refinement
B) Sprint Review.
C) Sprint Retrospective.
D) Sprint Testing.
E) Sprint Planning.
F) Release Retrospective.
G) Release Testing."
"What is the purpose of a Sprint Review?
(choose the best answer)";"A) To inspect the product Increment with the stakeholders and collect feedback on next steps.
B) To review the Scrum Team’s activities and processes during the Sprint.
C) To build team spirit.
D) To take time to judge the validity of the project."
"One of the Scrum events is the Daily Scrum. What are two intended outcomes of the Daily Scrum? 
(Choose the best two answers)";"A) A status report for the upper management indicating what each individual has done, will be doing, and what is impeding him/her
B) New impediments for the Scrum Master to take care oF
C) A shared understanding of the most important work to be undertaken next to achieve the best possible progress toward the Sprint goal.
D) An update of completed tasks and of the remaining work so the Scrum Master can plan the next day.
E) An updated Scrum board to make Sprint progress transparent for the stakeholders."
"The timebox for the Sprint Review is
(choose the best answer)";"A) 2 hours.
B) 1 day.
C) 4 hours for a monthly Sprint. For shorter Sprints it is usually shorter.
D) As long as needed.
E) 4 hours and longer as needed."
It is mandatory that the product Increment be released to production at the end of each Sprint.;"A) True
B) False"
"What does it mean for a Scrum Team to be cross-functional? 
(Choose the best answer)";"A) Developers work closely with business analysts, architects, developers and testers who are not on the team.
B) The Developers include also business analysts, architects and testers.
C) The Scrum Team include cross-skilled individuals who are able to contribute to do what is necessary to deliver an increment of software
D) The Scrum Team is a virtual team drawing from seperate teams of business analysts, architects, developers and testers."
"Which of the following are true about the Product Owner?
(Choose the best two answers)";"A) The Product Owner can be represented by a committee or a team of people.
B) The Scrum Team can have multiple Product Owners. 
C) The Product Owner is accountable for ordering the Product Backlog.
D) The Product Owner is one person."
"Which of the following are time-boxed events in Scrum?
(choose the best answer)";"A) Sprint Planning
B) Daily Scrum
C) Sprint Review
D) Sprint Retrospective
E) All of the above"
"The Product Backlog is ordered by
 (choose the best answer) ";"A) Items are randomly arranged. 
B) Whatever is deemed most appropriate by the Product Owner. 
C) Risk, where safer Items are atthe top, and riskier Items are at the bottom. 
D) Least valuable Items at the top to most valuable at the bottom. 
E) Size, where small Items are at the top and large Items are at the bottom."
"What are Developers responsible for?
(Choose the best 2 answers)";"A) Selecting the Product Owner 
B) Resolving internal conflicts
C) Reporting productivity 
D) Organizing the work required to meet the Sprint goal"
"You are the Scrum Master on a newly formed Scrum Team. Which two of the following activities would probably help the team in starting up? 
(Choose the best two answers)";"A) Ensure the team understands they need a Definition of Done
B) Ensure the team members have compatible personalities
C) Have the development managers for each Developer introduce their direct reports and go over their responsibilities on the Scrum Team
D) Introduce a bonus system for the top performers in the team
E) Ask the Product Owner to discuss the product, its vision, history, goals, and context, as well as answer questions"
"What is the maximum length of a Sprint?
(choose the best answer) ";"A) Not so long that the risk is unacceptable to the Product Owner. 
B) Not so long that other business events can't be readily synchronized with the development work. 
C) No more than one calendar month. 
D) All_of these answers are correct."
"What would be good ways of creating Development Teams that would support the Scrum values?
(Choose the best answer)";"A) Project Managers will allocate individuals to specific teams.
B) Bring all the developers or existing teams together and let them propose how to organize into the new structure and self-organize into Development Teams.
C) The operations manager determines the new team structures and assignments.
D) Direct managers personally re-assign current reports to new teams."
"The Sprint length should be
(Choose the best answer)";"A) Short enough to keep the business risk acceptable to the Product Owner.
B) Short enough to be able to synchronize the development work with other business events.
C) No more than one month.
D) All of these answers are correct."
"Which outcome is expected as Scrum Teams mature?
(Choose the best answer)";"A) A Scrum Master is no longer needed since they are a mature team now
B) They will improve their definition of Done to include more stringent criteria
C) There is no need for a time-boxed Sprint, since time-boxes are only for new Scrum Teams
D) The Sprint Retrospectives will grow to be longer than 4 hours 
E) Sprint Reviewers will no longer be needed"
"Which of the following are true about the length of a sprint?
(Choose the best answers)";"A) The length of the sprint should be proportional to the work that is done in between sprints
B) Sprint length is determined during sprint planning and should be long enough to make sure the Developers can deliver what is to be accomplished in the upcoming sprint
C) Sprint length is determined during sprint planning and should hold the time it will take to code the planned features in the upcoming sprint but does not include time for any testing
D) All sprints must be one month or less"
"Which do self-managing Developers choose?
(Choose the best answer)";"A) When to release, based on its progress
B) How to best accomplish the work
C) Sprint length
D) Product Backlog ordering
E) Stakeholders for the Sprint review"
"The length of a Sprint should be 
(choose the best answer)";"A) Short enough to keep the business risk acceptable to the Product Owner.
B) Short enough to be able to synchronize the development work with other business events.
C) One month or less.
D) All of the above"
"How much work must the Developers complete for each Product Backlog item they select for a Sprint? 
(choose the best answer)";"A) Analysis, design, programming, testing and documentation.
B) As much as it can fit into the Sprint.
C) All development work and at least some testing.
D) Enough so that each Product Backlog item they select meets the Definition of Done."
"Five new Scrum Teams have been created to build one product. A few of the Developers on one of the Scrum Teams ask the Scrum Master how to coordinate their work with the other teams. What should the Scrum Master do?
(Choose the best answer)";"A) Visit the five teams each day to inspect that their Sprint Backlogs are aligned
B) Teach them that it is their responsibility to work with the other teams to create an integrated Increment that is inclusive of all five team’s work.
C) Teach the Product Owner to work with the lead developers on ordering Product Backlog in a way to avoid too much overlap during a Sprint. 
D) Collect the Sprint tasks from the teams at the end of their Sprint Planning and merge that into a consolidated plan for the entire Sprint."
"The timebox for a Daily Scrum is? 
(choose the best answer)";"A) Two minutes per person.
B) 15 minutes.
C) 4 hours.
D) The same time of day every day.
E) 15 minutes for a 4-week sprint. For shorter Sprints it is usually shorter."
"Which of the following activities will a Product Owner engage in during a Sprint?
(Choose the best answer)";"A) Run the Daily Scrum
B) Update management on what is being worked on.
C) Prioritze the Developers work on the Sprint Backlog
D) Answer questions from the Developers about items in the current Sprint"
"You are the Scrum Master of four Scrum Teams working from the same product backlog. Several of the developers come to you complaining that work identified for the upcoming two Sprints will require full-time commitment from a technical specialist who is external to the teams.
What should the Scrum Master consider in this situation?
(Choose the best two answers)";"A) The need to have enough work to keep all Developers busy.
B) The ability of the Scrum Teams to produce integrated increments.
C) The desire to maintain a stable velocity.
D) The benefit of Developers figuring out a solution for themselves"
"Who creates a Product Backlog Item’s estimate?
(Choose the best answer)";"A) The Scrum Master
B) The Product Owner with input from the Developers.
C) The Developers, alone
D) The Developers after clarifying requirements with the Product Owner
E) The most senior people in the organization, including architects and subject matter experts"
"The Developers can cancel the Sprint
(choose the best answer)";"A) When the availability of the Product Owner is less than expected.
B) When the requirements for the work to be done become unclear or not understood.
C) It can’t. Only Product Owners can cancel Sprints.
D) When the Sprint Backlog is determined to be unachievable.
E) When too many impediments occur."
"For the purpose of transparency, 
when does Scrum say a valuable and useful Increment must be available?
(Choose the best answer)";"A) After the Acceptance Testing phase.
B) Every 3 Sprints.
C) At the end of every Sprint.
D) Before the Release Sprint.
E) When the Product Owner asks to create one."
Multiple Scrum Teams working in the same project must have the same Sprint Start?;"A) True
B) False"
"What would be two boundaries, defined in Scrum, that give guidance for teams to effectively self organize?
(Choose the best two answers)";"A) Timeboxing the events in Scrum to allow for regular inspection and adaptation creating opportunities to adjust course in any given path.
B) Clearly defined functional teams within the Development Team to define handoff phases during development.
C) Creating an integrated and potentially shippable Increment by the end of each Sprint.
D) Having a mixture of different levels of skills and experience to promote domain knowledge sharing."
"The Product Backlog is ordered by
(Choose the best answer)";"A) Items are randomly arranged
B) Size, where small items are at the top and large items are at the bottom
C) Risk, where safer items are at the top, and riskier items are at the bottom
D) The Product Owner with the most valuable items placed at the top"
"One of the Scrum events is the Daily Scrum. What are two intended outcomes of the Daily Scrum?
(Choose the best two answers)";"A) Identification of impediments that may prevent the Developers from achieving the Sprint Goal.
B) A status report for the upper management indicating what each individual has done, will be doing, and what is impeding him/her.
C) A shared understanding of the most important work to be undertaken next to achieve the best possible progress toward the Sprint goal.
D) An updated Scrum board to make Sprint progress transparent foor the stakeholders.
E) An updated Scrum board to make Sprint progress transparent for the stakeholders."
"Who can cancel a Sprint?
(Choose the best answer)";"A) The stakeholders
B) The Scrum Master
C) The Developers
D) The Product Owner"
"The Developers should not be interrupted during the Sprint and the Sprint Goal should remain
intact. These are conditions that foster creativity, quality and productivity. 
(Which one the following answers is FALSE?)";"A) The Developers may work with the Product Owner to remove or add work if it finds it has more or less capacity than it expected.
B) The Sprint Backlog is fully formulated in the Sprint Planning event and does not change during the Sprint.
C) As a decomposition of the selected Product Backlog items, the Sprint Backlog changes and may grow as the work emerges.
D) The Product Owner can help clarify or optimize the Sprint when asked by the Developers."
"Your organization has formed a new Scrum Team and has assigned you as the Scrum Master.
In what ways would you help the team start? 
(Choose the best answer)";"A) Ensure the Scrum Team members have compatible personalities, have the tech leads clarify the expectations and responsibilities of each role, and propose a performance rewards system.
B) Have the Scrum Team members introduce their background experience with each other, ask the Product Owner to discuss the product and answer questions, and ensure the team understands the need for a Definition of “Done.”"
"When does a new Sprint begin?
(Choose the best answer)";"A) Immediately after the next Sprint Planning.
B) Immediately after the end of the previous Sprint.
C) It depends on the Product Owner.
D) Every Monday."
"Scrum Master is a ""management"" position? ";"A) True 
B) False"
"Developers are required to deliver a done increment by the end of a Sprint. 
Select two statements that explain what “Done” means. 
(choose the best two answers)";"A) Whatever the Product Owner defines as quality. 
B) No work left from the definition of “Done”. 
C) Ready for integration. 
D) All work the Team is willing to do. 
E) All work to create software that is ready to be released to end users."
"Which three of the following are true about Scrum? 
(Choose the best 3 answers)";"A) Each component of Scrum serves a specific purpose and is essential to Scrum’s success and your usage of Scrum to develop complex products
B) Scrum is a framework for developing and sustaining complex products
C) Scrum is a methodology where you can pick and choose which parts of Scrum you think will work for your environment
D) Scrum is based on empirical process control theory.
E) Scrum is like traditional processes but with self-organization to replace Project Managers."
"Which two of these situations best describe that a Developers is self-organizing?
(choose the best two answers)";"A) The Development Team creates its own Sprint Backlog, reflecting all work that is part of the Definition of “Done”.
B) Management is invited to the Daily Scrum for a progress update and subsequently works with the Scrum Master to optimize the plan for the next day.
C) The Development Team members are strictly working within the boundaries of their function description, and are handing off work in a timely fashion to the other roles within the team.
D) The Development Team invites the right external people to the Sprint Planning to help them create a complete and detailed Sprint Backlog before the meeting time-box expires.
E) Development Team members collaboratively select and re-plan their work during the Sprint."
"You have just been hired by a company new to Scrum. Your management has assigned you to be the Scrum Master of six new Scrum Teams. These teams will build one product. Select two conditions you should strive for in this scenario. 
(Choose the best two answers)";"A) There should be six Product Owners reporting to chief Product Owner
B) Each Scrum Team should have a separate Product Backlog
C) The product has one Product Backlog
D) There should be six Product Owners, one for each Scrum Team
E) There should be only one Product Owner"
"When is it most appropriate for a Scrum Team to change the Definition of Done?
(Choose the best answer)";"A) During Sprint Planning
B) Prior to starting a new project.
C) Prior to starting a new Sprint.
D) During the Sprint Retrospective"
